anio,clave_ent,nombre_ent,ingcor_anual
2008,1,Aguascalientes,274708
2008,2,Baja California,287695
2008,3,Baja California Sur,297862
2008,4,Campeche,232586
2008,5,Coahuila,237882
2008,6,Colima,241338
2008,7,Chiapas,110727
2008,8,Chihuahua,271567
2008,9,Ciudad de Mexico,328883
2008,10,Durango,189475
2008,11,Guanajuato,198559
2008,12,Guerrero,144062
2008,13,Hidalgo,145670
2008,14,Jalisco,253165
2008,15,Mexico,205787
2008,16,Michoacan,175713
2008,17,Morelos,203666
2008,18,Nayarit,169701
2008,19,Nuevo Leon,316414
2008,20,Oaxaca,146152
2008,21,Puebla,147858
2008,22,Queretaro,261495
2008,23,Quintana Roo,257824
2008,24,San Luis Potosi,212539
2008,25,Sinaloa,238583
2008,26,Sonora,270115
2008,27,Tabasco,165939
2008,28,Tamaulipas,213184
2008,29,Tlaxcala,180999
2008,30,Veracruz,166966
2008,31,Yucatan,207666
2008,32,Zacatecas,203605
