anio,clave_ent,pobreza
2015.0,01,31.579299213875004
2016.0,01,28.21921782
2017.0,01,25.986746811125006
2018.0,01,26.18295872
2015.0,02,25.573135615083334
2016.0,02,22.23268119
2017.0,02,20.73959436241667
2018.0,02,23.25685367
2015.0,03,26.906149120583333
2016.0,03,22.126035339999998
2017.0,03,18.36645921941667
2018.0,03,18.07151577
2015.0,04,43.60941134108333
2016.0,04,43.76764737
2017.0,04,44.50135041391667
2018.0,04,46.24936599
2015.0,05,28.147010869375
2016.0,05,24.81516636
2017.0,05,22.240238355625003
2018.0,05,22.48661385
2015.0,06,34.183694973083334
2016.0,06,33.63170664
2017.0,06,32.56744855441667
2018.0,06,30.86859688
2015.0,07,76.935403613
2016.0,07,77.08138668000001
2017.0,07,76.8415674545
2018.0,07,76.41103193
2015.0,08,32.92643617329166
2016.0,08,30.60839305
2017.0,08,28.15400073420834
2018.0,08,26.28072999
2015.0,09,27.81717703575
2016.0,09,27.59540663
2017.0,09,28.306627916750003
2018.0,09,30.55043578
2015.0,10,39.302529739458336
2016.0,10,35.98891631
2017.0,10,34.88439408054167
2018.0,10,37.34975889
2015.0,11,45.03534843320833
2016.0,11,42.35989308
2017.0,11,40.98920397929167
2018.0,11,43.38385386
2015.0,12,64.13674309395832
2016.0,12,64.40739558999998
2017.0,12,65.39624102604166
2018.0,12,66.46948828
2015.0,13,53.21642420125
2016.0,13,50.62033041000001
2017.0,13,47.25124854375001
2018.0,13,43.84515549
2015.0,14,33.30787978470833
2016.0,14,31.81401454
2017.0,14,30.36253651279167
2018.0,14,28.4291724
2015.0,15,49.526944132541665
2016.0,15,47.8758279
2017.0,15,45.36580069745834
2018.0,15,42.71600386
2015.0,16,58.54788295358333
2016.0,16,55.33795169
2017.0,16,50.782006346416665
2018.0,16,46.04451536
2015.0,17,51.762532846000006
2016.0,17,49.54464266000001
2017.0,17,48.32631713650001
2018.0,17,50.81556747
2015.0,18,38.22730936895832
2016.0,18,37.52553225999999
2017.0,18,36.87942374604167
2018.0,18,34.77042624
2015.0,19,17.197960672125003
2016.0,19,14.24556519
2017.0,19,12.893694545375
2018.0,19,14.52704893
2015.0,20,69.33392365266667
2016.0,20,70.40110472
2017.0,20,69.54316231983336
2018.0,20,66.35162219
2015.0,21,62.197082342624995
2016.0,21,59.440157619999994
2017.0,21,57.82658926237501
2018.0,21,58.91671761
2015.0,22,32.789125137333336
2016.0,22,31.11921575
2017.0,22,29.32871794266667
2018.0,22,27.58078656
2015.0,23,32.32281772758333
2016.0,23,28.84683692
2017.0,23,26.809344639916674
2018.0,23,27.56542997
2015.0,24,47.48392883625
2016.0,24,45.52065728
2017.0,24,43.922194223750004
2018.0,24,43.39911471
2015.0,25,35.96690326479167
2016.0,25,30.80663702
2017.0,25,27.805010447708337
2018.0,25,30.87842282
2015.0,26,28.84961384233333
2016.0,26,27.863703529999995
2017.0,26,27.33186721766667
2018.0,26,28.18548101
2015.0,27,50.22848331024999
2016.0,27,50.85178642999999
2017.0,27,51.85343221475
2018.0,27,53.646294299999994
2015.0,28,35.20575306925
2016.0,28,32.16223148
2017.0,28,31.286049285750003
2018.0,28,35.07026061
2015.0,29,57.1666874555
2016.0,29,53.94566206
2017.0,29,50.578390149499995
2018.0,29,48.37874952
2015.0,30,60.715685318458334
2016.0,30,62.16004549
2017.0,30,62.47040788404166
2018.0,30,61.77892198
2015.0,31,43.743896856333336
2016.0,31,41.87165748
2017.0,31,40.72722125616667
2018.0,31,40.79802243
2015.0,32,50.943286516875006
2016.0,32,49.00387497
2017.0,32,47.339304038125
2018.0,32,46.76131861
