anio,clave_ent,nombre_ent,ingcor_anual
2010,1,Aguascalientes,209382
2010,2,Baja California,256083
2010,3,Baja California Sur,245217
2010,4,Campeche,198546
2010,5,Coahuila,200553
2010,6,Colima,213026
2010,7,Chiapas,101001
2010,8,Chihuahua,179626
2010,9,Ciudad de Mexico,301797
2010,10,Durango,158282
2010,11,Guanajuato,162489
2010,12,Guerrero,124283
2010,13,Hidalgo,135059
2010,14,Jalisco,225226
2010,15,Mexico,198683
2010,16,Michoacan,141400
2010,17,Morelos,179836
2010,18,Nayarit,189041
2010,19,Nuevo Leon,273650
2010,20,Oaxaca,132097
2010,21,Puebla,154306
2010,22,Queretaro,218606
2010,23,Quintana Roo,243427
2010,24,San Luis Potosi,180245
2010,25,Sinaloa,185276
2010,26,Sonora,206032
2010,27,Tabasco,144115
2010,28,Tamaulipas,175013
2010,29,Tlaxcala,153076
2010,30,Veracruz,142061
2010,31,Yucatan,176991
2010,32,Zacatecas,123413
