anio,clave_ent,nombre_ent,ingcor_anual
2012,1,Aguascalientes,202498
2012,2,Baja California,269811
2012,3,Baja California Sur,253298
2012,4,Campeche,201871
2012,5,Coahuila,174349
2012,6,Colima,195827
2012,7,Chiapas,103940
2012,8,Chihuahua,159159
2012,9,Ciudad de Mexico,315435
2012,10,Durango,151184
2012,11,Guanajuato,185194
2012,12,Guerrero,113250
2012,13,Hidalgo,142132
2012,14,Jalisco,230336
2012,15,Mexico,193580
2012,16,Michoacan,146693
2012,17,Morelos,164346
2012,18,Nayarit,174164
2012,19,Nuevo Leon,286120
2012,20,Oaxaca,107614
2012,21,Puebla,145554
2012,22,Queretaro,264978
2012,23,Quintana Roo,222719
2012,24,San Luis Potosi,157670
2012,25,Sinaloa,190057
2012,26,Sonora,225562
2012,27,Tabasco,167764
2012,28,Tamaulipas,198053
2012,29,Tlaxcala,136394
2012,30,Veracruz,150741
2012,31,Yucatan,180078
2012,32,Zacatecas,139706
