anio,clave_ent,nombre_ent,ingcor_anual
2014,1,Aguascalientes,209601.6464
2014,2,Baja California,217692.1891
2014,3,Baja California Sur,215086.5138
2014,4,Campeche,201368.1343
2014,5,Coahuila,249239.083
2014,6,Colima,204356.78
2014,7,Chiapas,98709.71879
2014,8,Chihuahua,177989.5959
2014,9,Ciudad de Mexico,310932.9429
2014,10,Durango,152819.1358
2014,11,Guanajuato,158344.3159
2014,12,Guerrero,126171.5208
2014,13,Hidalgo,142677.5686
2014,14,Jalisco,215580.4612
2014,15,Mexico,185559.4723
2014,16,Michoacan,137155.201
2014,17,Morelos,172220.4304
2014,18,Nayarit,174223.8766
2014,19,Nuevo Leon,267712.6002
2014,20,Oaxaca,107121.4621
2014,21,Puebla,141074.5539
2014,22,Queretaro,215801.7122
2014,23,Quintana Roo,206631.0476
2014,24,San Luis Potosi,159863.7756
2014,25,Sinaloa,204565.3746
2014,26,Sonora,219578.4472
2014,27,Tabasco,163747.2689
2014,28,Tamaulipas,200826.257
2014,29,Tlaxcala,136163.5561
2014,30,Veracruz,129232.5887
2014,31,Yucatan,182382.6227
2014,32,Zacatecas,135591.4443
