anio,clave_ent,nombre_ent,pobreza,pobreza_ext
2014,23,Quintana Roo,35.88219798,6.979255072
2014,24,San Luis Potosi,49.10143385,9.484601906
2014,25,Sinaloa,39.36940991,5.25735748
2014,26,Sonora,29.35822205,3.293562237
2014,27,Tabasco,49.57064922,11.0293401
2014,28,Tamaulipas,37.92355993,4.320561404
2014,29,Tlaxcala,58.92758854,6.535172907
2014,30,Veracruz,58.00517789,17.15352706
2014,31,Yucatan,45.85650514,10.68559187
2014,32,Zacatecas,52.34579379,5.710487382
2016,1,Aguascalientes,28.21921782,2.303939905
2016,2,Baja California,22.23268119,1.117988798
2016,3,Baja California Sur,22.12603534,1.607785091
2016,4,Campeche,43.76764737,6.657294356
2016,5,Coahuila,24.81516636,1.653031411
2016,6,Colima,33.63170664,2.607599661
2016,7,Chiapas,77.08138668,28.07911937
2016,8,Chihuahua,30.60839305,3.217157677
2016,9,Ciudad de Mexico,27.59540663,1.758453022
2016,10,Durango,35.98891631,2.772879543
2016,11,Guanajuato,42.35989308,4.382453919
2016,12,Guerrero,64.40739559,22.96169063
2016,13,Hidalgo,50.62033041,8.01858133
2016,14,Jalisco,31.81401454,1.800070546
2016,15,Mexico,47.8758279,6.148421582
2016,16,Michoacan,55.33795169,9.389043488
2016,17,Morelos,49.54464266,5.918722024
2016,18,Nayarit,37.52553226,7.930145184
2016,19,Nuevo Leon,14.24556519,0.608062314
2016,20,Oaxaca,70.40110472,26.88016061
2016,21,Puebla,59.44015762,8.958045622
2016,22,Queretaro,31.11921575,2.923398891
2016,23,Quintana Roo,28.84683692,4.236940413
2016,24,San Luis Potosi,45.52065728,7.677334359
2016,25,Sinaloa,30.80663702,2.885677352
2016,26,Sonora,27.86370353,2.524374922
2016,27,Tabasco,50.85178643,11.76927772
2016,28,Tamaulipas,32.16223148,2.881755078
2016,29,Tlaxcala,53.94566206,5.744204406
2016,30,Veracruz,62.16004549,16.40333491
2016,31,Yucatan,41.87165748,6.147751241
2016,32,Zacatecas,49.00387497,3.524088251
2018,1,Aguascalientes,26.18295872,1.165585545
2018,2,Baja California,23.25685367,1.625469146
2018,3,Baja California Sur,18.07151577,1.498555989
2018,4,Campeche,46.24936599,9.770875972
2018,5,Coahuila,22.48661385,1.448798167
2018,6,Colima,30.86859688,2.390672082
2018,7,Chiapas,76.41103193,29.71232626
2018,8,Chihuahua,26.28072999,2.608861527
2018,9,Ciudad de Mexico,30.55043578,1.746116612
2018,10,Durango,37.34975889,2.219537111
2018,11,Guanajuato,43.38385386,4.245789751
2018,12,Guerrero,66.46948828,26.76854324
2018,13,Hidalgo,43.84515549,6.068716113
2018,14,Jalisco,28.4291724,2.973734511
2018,15,Mexico,42.71600386,4.900429218
2018,16,Michoacan,46.04451536,6.056148326
2018,17,Morelos,50.81556747,7.370320836
2018,18,Nayarit,34.77042624,5.878883254
2018,19,Nuevo Leon,14.52704893,0.474188549
2018,20,Oaxaca,66.35162219,23.26471753
2018,21,Puebla,58.91671761,8.639881905
2018,22,Queretaro,27.58078656,1.96165826
2018,23,Quintana Roo,27.56542997,3.470576181
2018,24,San Luis Potosi,43.39911471,7.330071631
2018,25,Sinaloa,30.87842282,2.684057958
2018,26,Sonora,28.18548101,2.63311477
2018,27,Tabasco,53.6462943,12.29221881
2018,28,Tamaulipas,35.07026061,3.31702397
2018,29,Tlaxcala,48.37874952,3.127577628
2018,30,Veracruz,61.77892198,17.69940255
2018,31,Yucatan,40.79802243,6.664957076
2018,32,Zacatecas,46.76131861,3.369204478
