ao	clave_ent	edo	homicidio	robocasa	robocalle	robocarro	secuestro	pob_tot
2016	20	"Oaxaca"	1541	1170	1285	2961	28	4.0e+06
2017	20	"Oaxaca"	1662	1155	1514	3131	51	4.1e+06
2018	20	"Oaxaca"	1743	1305	1726	3068	27	4.1e+06
2019	20	"Oaxaca"	1853	1487	1897	3101	23	4.1e+06
2015	21	"Puebla"	1206	2610	1932	3652	33	6.3e+06
2016	21	"Puebla"	1206	2098	1216	5316	32	6.3e+06
2017	21	"Puebla"	1647	2459	1824	11314	35	6.4e+06
2018	21	"Puebla"	1983	2204	1688	13860	46	6.5e+06
2019	21	"Puebla"	1663	2652	2730	13401	70	6.5e+06
2015	22	"Querétaro"	447	2417	1129	3872	19	2.1e+06
2016	22	"Querétaro"	422	3282	1655	4880	12	2.1e+06
2017	22	"Querétaro"	471	3852	1976	5738	11	2.2e+06
2018	22	"Querétaro"	490	3929	2000	6165	12	2.2e+06
2019	22	"Querétaro"	504	3409	1614	4922	8	2.2e+06
2015	23	"Quintana Roo"	571	3477	1606	852	5	1.5e+06
2016	23	"Quintana Roo"	278	2104	594	932	8	1.6e+06
2017	23	"Quintana Roo"	497	2644	668	2280	20	1.6e+06
2018	23	"Quintana Roo"	936	2940	837	2292	14	1.6e+06
2019	23	"Quintana Roo"	1500	3299	1993	2889	24	1.7e+06
2015	24	"San Luis Potosí"	392	1250	616	903	21	2.8e+06
2016	24	"San Luis Potosí"	500	1611	778	1513	26	2.8e+06
2017	24	"San Luis Potosí"	712	2160	1062	2327	28	2.8e+06
2018	24	"San Luis Potosí"	899	1800	1234	3705	20	2.8e+06
2019	24	"San Luis Potosí"	853	1722	996	4084	24	2.8e+06
2015	25	"Sinaloa"	1404	577	5	4399	12	3.0e+06
2016	25	"Sinaloa"	1516	471	59	4784	14	3.0e+06
2017	25	"Sinaloa"	1839	408	24	6910	14	3.1e+06
2018	25	"Sinaloa"	1608	287	5	5637	8	3.1e+06
2019	25	"Sinaloa"	1407	415	94	4045	6	3.1e+06
2015	26	"Sonora"	983	1334	0	4651	8	2.9e+06
